"","Z","element","transition","transition.keV","intensity","width.eV","edge","edge.keV","fluorescence.yield","shell.filled","subshell.filled","shell.source","subshell.source","Siegbahn","Siegbahn.short","IUPAC.formatted","Siegbahn.formatted","uid"
"2398",86,"Rn","L2O4",17.289,2.5,NA,"",NA,NA,"L","L2","O","O4","Lg6","Lg","$\mathrm{L}_2\mathrm{O}_4$","$\mathrm{L}\gamma_6$","86-Rn-L2O4"
"2399",86,"Rn","L2O1",17.13,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","86-Rn-L2O1"
"2400",86,"Rn","L1N5",17.527,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","86-Rn-L1N5"
"2401",86,"Rn","L3M1",10.137,6.2,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","86-Rn-L3M1"
"2402",86,"Rn","L2M1",12.855,1.8,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","86-Rn-L2M1"
"2403",86,"Rn","L1N4",17.497,0,NA,"",NA,NA,"L","L1","N","N4","","Lg","$\mathrm{L}_1\mathrm{N}_4$","","86-Rn-L1N4"
"2404",86,"Rn","M5N7",2.654,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","86-Rn-M5N7"
"2405",86,"Rn","M5N6",2.654,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","86-Rn-M5N6"
"2406",86,"Rn","M4N6",2.784,47.1,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","86-Rn-M4N6"
"2407",86,"Rn","M3N5",2.997,6.6,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","86-Rn-M3N5"
"2408",86,"Rn","M4N2,3",2.093,1,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","86-Rn-M4N2,3"
"2409",86,"Rn","",NA,NA,NA,"K",98.404,0.969,"","","","","","","$\mathrm{K}$","","86-Rn-K"
"2410",86,"Rn","",NA,NA,NA,"L1",18.049,0.134,"","","","","","","$\mathrm{L}_1$","","86-Rn-L1"
"2411",86,"Rn","",NA,NA,NA,"L2",17.337,0.429,"","","","","","","$\mathrm{L}_2$","","86-Rn-L2"
"2412",86,"Rn","",NA,NA,NA,"L3",14.619,0.411,"","","","","","","$\mathrm{L}_3$","","86-Rn-L3"
"2413",86,"Rn","",NA,NA,NA,"M1",4.482,NA,"","","","","","","$\mathrm{M}_1$","","86-Rn-M1"
"2414",86,"Rn","",NA,NA,NA,"M2",4.159,NA,"","","","","","","$\mathrm{M}_2$","","86-Rn-M2"
"2415",86,"Rn","",NA,NA,NA,"M3",3.538,NA,"","","","","","","$\mathrm{M}_3$","","86-Rn-M3"
"2416",86,"Rn","",NA,NA,NA,"M4",3.022,NA,"","","","","","","$\mathrm{M}_4$","","86-Rn-M4"
"2417",86,"Rn","",NA,NA,NA,"M5",2.892,NA,"","","","","","","$\mathrm{M}_5$","","86-Rn-M5"
"2418",86,"Rn","",NA,NA,NA,"N1",1.097,NA,"","","","","","","$\mathrm{N}_1$","","86-Rn-N1"
"2419",87,"Fr","KL3",86.106,100,83.4,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","87-Fr-KL3"
"2420",87,"Fr","KL2",82.23,60.8,84.2,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","87-Fr-KL2"
"2421",87,"Fr","KM3",97.474,22.6,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","87-Fr-KM3"
"2422",87,"Fr","KN2,3",100.157,11.4,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","87-Fr-KN2,3"
"2423",87,"Fr","KM2",96.81,11.9,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","87-Fr-KM2"
"2424",87,"Fr","L3M5",12.031,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","87-Fr-L3M5"
"2425",87,"Fr","L3M4",11.895,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","87-Fr-L3M4"
"2426",87,"Fr","L2M4",14.771,66.2,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","87-Fr-L2M4"
"2427",87,"Fr","L3N5",14.451,21.1,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","87-Fr-L3N5"
"2428",87,"Fr","L1M3",14.976,1.3,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","87-Fr-L1M3"
"2429",87,"Fr","L1M2",14.312,1.4,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","87-Fr-L1M2"
"2430",87,"Fr","L3O4,5",14.973,4,NA,"",NA,NA,"L","L3","O","O4,5","Lb5","Lb","$\mathrm{L}_3\mathrm{O}_{4,5}$","$\mathrm{L}\beta_5$","87-Fr-L3O4,5"
"2431",87,"Fr","L3N1",13.878,1.6,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","87-Fr-L3N1"
"2432",87,"Fr","L3O1",14.804,0.4,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","87-Fr-L3O1"
"2433",87,"Fr","L1M5",15.642,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","87-Fr-L1M5"
"2434",87,"Fr","L1M4",15.505,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","87-Fr-L1M4"
"2435",87,"Fr","L3N4",14.42,2.3,NA,"",NA,NA,"L","L3","N","N4","Lb15","Lb","$\mathrm{L}_3\mathrm{N}_4$","$\mathrm{L}\beta_{15}$","87-Fr-L3N4"
"2436",87,"Fr","L2M3",14.249,0.1,NA,"",NA,NA,"L","L2","M","M3","Lb17","Lb","$\mathrm{L}_2\mathrm{M}_3$","$\mathrm{L}\beta_{17}$","87-Fr-L2M3"
"2437",87,"Fr","L2N4",17.304,15,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","87-Fr-L2N4"
"2438",87,"Fr","L1N2",17.659,0.4,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","87-Fr-L1N2"
"2439",87,"Fr","L1N3",17.829,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","87-Fr-L1N3"
"2440",87,"Fr","L1O3",18.505,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","87-Fr-L1O3"
"2441",87,"Fr","L2N1",16.758,0.5,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","87-Fr-L2N1"
"2442",87,"Fr","L2O4",17.849,2.6,NA,"",NA,NA,"L","L2","O","O4","Lg6","Lg","$\mathrm{L}_2\mathrm{O}_4$","$\mathrm{L}\gamma_6$","87-Fr-L2O4"
"2443",87,"Fr","L2O1",17.667,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","87-Fr-L2O1"
"2444",87,"Fr","L1N5",18.076,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","87-Fr-L1N5"
"2445",87,"Fr","L3M1",10.379,6.4,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","87-Fr-L3M1"
"2446",87,"Fr","L2M1",13.255,1.9,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","87-Fr-L2M1"
"2447",87,"Fr","L1N4",18.045,0,NA,"",NA,NA,"L","L1","N","N4","","Lg","$\mathrm{L}_1\mathrm{N}_4$","","87-Fr-L1N4"
"2448",87,"Fr","M5N7",2.732,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","87-Fr-M5N7"
"2449",87,"Fr","M5N6",2.732,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","87-Fr-M5N6"
"2450",87,"Fr","M4N6",2.868,50.6,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","87-Fr-M4N6"
"2451",87,"Fr","M3N5",3.086,6.1,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","87-Fr-M3N5"
"2452",87,"Fr","M4N2,3",2.156,1,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","87-Fr-M4N2,3"
"2453",87,"Fr","",NA,NA,NA,"K",101.137,0.97,"","","","","","","$\mathrm{K}$","","87-Fr-K"
"2454",87,"Fr","",NA,NA,NA,"L1",18.639,0.139,"","","","","","","$\mathrm{L}_1$","","87-Fr-L1"
"2455",87,"Fr","",NA,NA,NA,"L2",17.907,0.443,"","","","","","","$\mathrm{L}_2$","","87-Fr-L2"
"2456",87,"Fr","",NA,NA,NA,"L3",15.031,0.424,"","","","","","","$\mathrm{L}_3$","","87-Fr-L3"
"2457",87,"Fr","",NA,NA,NA,"M1",4.652,NA,"","","","","","","$\mathrm{M}_1$","","87-Fr-M1"
"2458",87,"Fr","",NA,NA,NA,"M2",4.327,NA,"","","","","","","$\mathrm{M}_2$","","87-Fr-M2"
"2459",87,"Fr","",NA,NA,NA,"M3",3.663,NA,"","","","","","","$\mathrm{M}_3$","","87-Fr-M3"
"2460",87,"Fr","",NA,NA,NA,"M4",3.136,NA,"","","","","","","$\mathrm{M}_4$","","87-Fr-M4"
"2461",87,"Fr","",NA,NA,NA,"M5",3,NA,"","","","","","","$\mathrm{M}_5$","","87-Fr-M5"
"2462",87,"Fr","",NA,NA,NA,"N1",1.153,NA,"","","","","","","$\mathrm{N}_1$","","87-Fr-N1"
"2463",88,"Ra","KL3",88.478,100,87.2,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","88-Ra-KL3"
"2464",88,"Ra","KL2",85.438,60.9,88.1,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","88-Ra-KL2"
"2465",88,"Ra","KM3",100.13,22.7,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","88-Ra-KM3"
"2466",88,"Ra","KN2,3",102.864,11.5,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","88-Ra-KN2,3"
"2467",88,"Ra","KM2",99.432,11.9,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","88-Ra-KM2"
"2468",88,"Ra","L3M5",12.339,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","88-Ra-L3M5"
"2469",88,"Ra","L3M4",12.196,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","88-Ra-L3M4"
"2470",88,"Ra","L2M4",15.236,66.4,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","88-Ra-L2M4"
"2471",88,"Ra","L3N5",14.841,21.4,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","88-Ra-L3N5"
"2472",88,"Ra","L1M3",15.445,1.3,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","88-Ra-L1M3"
"2473",88,"Ra","L1M2",14.747,1.3,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","88-Ra-L1M2"
"2474",88,"Ra","L3O4,5",15.376,4.1,NA,"",NA,NA,"L","L3","O","O4,5","Lb5","Lb","$\mathrm{L}_3\mathrm{O}_{4,5}$","$\mathrm{L}\beta_5$","88-Ra-L3O4,5"
"2475",88,"Ra","L3N1",14.236,1.6,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","88-Ra-L3N1"
"2476",88,"Ra","L3O1",15.191,0.4,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","88-Ra-L3O1"
"2477",88,"Ra","L1M5",16.132,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","88-Ra-L1M5"
"2478",88,"Ra","L1M4",15.989,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","88-Ra-L1M4"
"2479",88,"Ra","L3N4",14.81,2.3,NA,"",NA,NA,"L","L3","N","N4","Lb15","Lb","$\mathrm{L}_3\mathrm{N}_4$","$\mathrm{L}\beta_{15}$","88-Ra-L3N4"
"2480",88,"Ra","L2M3",14.694,0.1,NA,"",NA,NA,"L","L2","M","M3","Lb17","Lb","$\mathrm{L}_2\mathrm{M}_3$","$\mathrm{L}\beta_{17}$","88-Ra-L2M3"
"2481",88,"Ra","L2N4",17.848,15.2,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","88-Ra-L2N4"
"2482",88,"Ra","L1N2",18.179,0.4,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","88-Ra-L1N2"
"2483",88,"Ra","L1N3",18.358,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","88-Ra-L1N3"
"2484",88,"Ra","L1O3",19.084,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","88-Ra-L1O3"
"2485",88,"Ra","L2N1",17.278,0.5,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","88-Ra-L2N1"
"2486",88,"Ra","L2O4",18.416,2.7,NA,"",NA,NA,"L","L2","O","O4","Lg6","Lg","$\mathrm{L}_2\mathrm{O}_4$","$\mathrm{L}\gamma_6$","88-Ra-L2O4"
"2487",88,"Ra","L2O1",18.23,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","88-Ra-L2O1"
"2488",88,"Ra","L1N5",18.633,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","88-Ra-L1N5"
"2489",88,"Ra","L3M1",10.622,6.5,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","88-Ra-L3M1"
"2490",88,"Ra","L2M1",13.662,1.9,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","88-Ra-L2M1"
"2491",88,"Ra","L1N4",18.6,0,NA,"",NA,NA,"L","L1","N","N4","","Lg","$\mathrm{L}_1\mathrm{N}_4$","","88-Ra-L1N4"
"2492",88,"Ra","M5N7",2.806,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","88-Ra-M5N7"
"2493",88,"Ra","M5N6",2.806,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","88-Ra-M5N6"
"2494",88,"Ra","M4N6",2.949,52.9,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","88-Ra-M4N6"
"2495",88,"Ra","M3N5",3.189,5.7,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","88-Ra-M3N5"
"2496",88,"Ra","M4N2,3",2.19,1,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","88-Ra-M4N2,3"
"2497",88,"Ra","",NA,NA,NA,"K",103.922,0.97,"","","","","","","$\mathrm{K}$","","88-Ra-K"
"2498",88,"Ra","",NA,NA,NA,"L1",19.237,0.146,"","","","","","","$\mathrm{L}_1$","","88-Ra-L1"
"2499",88,"Ra","",NA,NA,NA,"L2",18.484,0.456,"","","","","","","$\mathrm{L}_2$","","88-Ra-L2"
"2500",88,"Ra","",NA,NA,NA,"L3",15.444,0.437,"","","","","","","$\mathrm{L}_3$","","88-Ra-L3"
"2501",88,"Ra","",NA,NA,NA,"M1",4.822,NA,"","","","","","","$\mathrm{M}_1$","","88-Ra-M1"
"2502",88,"Ra","",NA,NA,NA,"M2",4.49,NA,"","","","","","","$\mathrm{M}_2$","","88-Ra-M2"
"2503",88,"Ra","",NA,NA,NA,"M3",3.792,NA,"","","","","","","$\mathrm{M}_3$","","88-Ra-M3"
"2504",88,"Ra","",NA,NA,NA,"M4",3.248,NA,"","","","","","","$\mathrm{M}_4$","","88-Ra-M4"
"2505",88,"Ra","",NA,NA,NA,"M5",3.105,NA,"","","","","","","$\mathrm{M}_5$","","88-Ra-M5"
"2506",88,"Ra","",NA,NA,NA,"N1",1.208,NA,"","","","","","","$\mathrm{N}_1$","","88-Ra-N1"
"2507",89,"Ac","KL3",90.884,100,91.1,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","89-Ac-KL3"
"2508",89,"Ac","KL2",87.672,61.1,92,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","89-Ac-KL2"
"2509",89,"Ac","KM3",102.846,22.7,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","89-Ac-KM3"
"2510",89,"Ac","KN2,3",105.675,11.7,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","89-Ac-KN2,3"
"2511",89,"Ac","KM2",102.099,11.9,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","89-Ac-KM2"
"2512",89,"Ac","L3M5",12.652,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","89-Ac-L3M5"
"2513",89,"Ac","L3M4",12.501,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","89-Ac-L3M4"
"2514",89,"Ac","L2M4",15.713,66.6,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","89-Ac-L2M4"
"2515",89,"Ac","L3N5",15.232,21.6,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","89-Ac-L3N5"
"2516",89,"Ac","L1M3",15.931,1.2,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","89-Ac-L1M3"
"2517",89,"Ac","L1M2",15.184,1.3,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","89-Ac-L1M2"
"2518",89,"Ac","L3O4,5",15.791,4.3,NA,"",NA,NA,"L","L3","O","O4,5","Lb5","Lb","$\mathrm{L}_3\mathrm{O}_{4,5}$","$\mathrm{L}\beta_5$","89-Ac-L3O4,5"
"2519",89,"Ac","L3N1",14.602,1.7,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","89-Ac-L3N1"
"2520",89,"Ac","L3O1",15.6,0.4,NA,"",NA,NA,"L","L3","O","O1","Lb7","Lb","$\mathrm{L}_3\mathrm{O}_1$","$\mathrm{L}\beta_7$","89-Ac-L3O1"
"2521",89,"Ac","L1M5",16.622,0.1,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","89-Ac-L1M5"
"2522",89,"Ac","L1M4",16.471,0.1,NA,"",NA,NA,"L","L1","M","M4","Lb10","Lb","$\mathrm{L}_1\mathrm{M}_4$","$\mathrm{L}\beta_{10}$","89-Ac-L1M4"
"2523",89,"Ac","L3N4",15.198,2.4,NA,"",NA,NA,"L","L3","N","N4","Lb15","Lb","$\mathrm{L}_3\mathrm{N}_4$","$\mathrm{L}\beta_{15}$","89-Ac-L3N4"
"2524",89,"Ac","L2M3",15.172,0.1,NA,"",NA,NA,"L","L2","M","M3","Lb17","Lb","$\mathrm{L}_2\mathrm{M}_3$","$\mathrm{L}\beta_{17}$","89-Ac-L2M3"
"2525",89,"Ac","L2N4",18.408,15.4,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","89-Ac-L2N4"
"2526",89,"Ac","L1N2",18.76,0.4,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","89-Ac-L1N2"
"2527",89,"Ac","L1N3",18.95,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","89-Ac-L1N3"
"2528",89,"Ac","L1O3",19.683,0.2,NA,"",NA,NA,"L","L1","O","O3","Lg4","Lg","$\mathrm{L}_1\mathrm{O}_3$","$\mathrm{L}\gamma_4$","89-Ac-L1O3"
"2529",89,"Ac","L2N1",17.812,0.5,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","89-Ac-L2N1"
"2530",89,"Ac","L2O4",19.003,2.9,NA,"",NA,NA,"L","L2","O","O4","Lg6","Lg","$\mathrm{L}_2\mathrm{O}_4$","$\mathrm{L}\gamma_6$","89-Ac-L2O4"
"2531",89,"Ac","L2O1",18.826,0.1,NA,"",NA,NA,"L","L2","O","O1","Lg8","Lg","$\mathrm{L}_2\mathrm{O}_1$","$\mathrm{L}\gamma_8$","89-Ac-L2O1"
"2532",89,"Ac","L1N5",19.205,0,NA,"",NA,NA,"L","L1","N","N5","Lg11","Lg","$\mathrm{L}_1\mathrm{N}_5$","$\mathrm{L}\gamma_{11}$","89-Ac-L1N5"
"2533",89,"Ac","L3M1",10.869,6.6,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","89-Ac-L3M1"
"2534",89,"Ac","L2M1",14.081,1.9,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","89-Ac-L2M1"
"2535",89,"Ac","L1N4",19.169,0,NA,"",NA,NA,"L","L1","N","N4","","Lg","$\mathrm{L}_1\mathrm{N}_4$","","89-Ac-L1N4"
"2536",89,"Ac","M5N7",2.9,100,NA,"",NA,NA,"M","M5","N","N7","Ma1","Ma","$\mathrm{M}_5\mathrm{N}_7$","$\mathrm{M}\alpha_1$","89-Ac-M5N7"
"2537",89,"Ac","M5N6",2.9,100,NA,"",NA,NA,"M","M5","N","N6","Ma2","Ma","$\mathrm{M}_5\mathrm{N}_6$","$\mathrm{M}\alpha_2$","89-Ac-M5N6"
"2538",89,"Ac","M4N6",3.051,56.7,NA,"",NA,NA,"M","M4","N","N6","Mb1","Mb","$\mathrm{M}_4\mathrm{N}_6$","$\mathrm{M}\beta_1$","89-Ac-M4N6"
"2539",89,"Ac","M3N5",3.27,5.3,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","89-Ac-M3N5"
"2540",89,"Ac","M4N2,3",2.29,1,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","89-Ac-M4N2,3"
"2541",89,"Ac","",NA,NA,NA,"K",106.755,0.971,"","","","","","","$\mathrm{K}$","","89-Ac-K"
